iter	Passed	Remaining
0	3	3908
1	7	3574
2	10	3364
3	12	3110
4	14	2978
5	17	2892
6	21	3099
7	24	3057
8	27	3009
9	29	2965
10	32	2921
11	35	2896
12	38	2887
13	40	2857
14	42	2819
15	45	2788
16	47	2754
17	50	2736
18	53	2755
19	56	2758
20	59	2754
21	61	2738
22	64	2722
23	67	2738
24	70	2739
25	73	2735
26	75	2725
27	78	2708
28	80	2699
29	82	2683
30	85	2678
31	88	2663
32	90	2648
33	92	2636
34	95	2624
35	97	2615
36	100	2616
37	103	2615
38	105	2609
39	108	2601
40	110	2590
41	113	2583
42	115	2580
43	118	2574
44	120	2564
45	123	2559
46	125	2553
47	128	2546
48	130	2539
49	133	2543
50	136	2537
51	138	2533
52	141	2526
53	143	2517
54	146	2510
55	148	2510
56	151	2506
57	153	2501
58	156	2495
59	158	2490
60	161	2485
61	164	2484
62	166	2483
63	169	2476
64	171	2471
65	174	2465
66	176	2461
67	179	2457
68	181	2454
69	184	2451
70	187	2447
71	189	2442
72	191	2438
73	194	2435
74	197	2438
75	200	2437
76	203	2438
77	205	2434
78	208	2429
79	211	2426
80	213	2426
81	216	2422
82	218	2418
83	221	2413
84	223	2408
85	226	2403
86	229	2404
87	231	2398
88	233	2394
89	236	2390
90	238	2384
91	241	2380
92	245	2391
93	248	2394
94	252	2402
95	254	2398
96	257	2394
97	259	2392
98	262	2388
99	264	2384
100	267	2378
101	269	2373
102	271	2367
103	275	2371
104	278	2374
105	281	2373
106	285	2378
107	294	2429
108	301	2464
109	305	2469
110	310	2485
111	315	2497
112	320	2519
113	327	2544
114	334	2576
115	339	2589
116	343	2595
117	348	2606
118	352	2607
119	355	2606
120	359	2613
121	363	2612
122	366	2611
123	369	2609
124	373	2611
125	377	2615
126	380	2615
127	383	2609
128	385	2603
129	388	2601
130	391	2596
131	393	2590
132	396	2584
133	398	2578
134	401	2571
135	404	2568
136	407	2566
137	409	2560
138	412	2554
139	414	2548
140	417	2544
141	420	2538
142	423	2537
143	426	2533
144	428	2526
145	430	2520
146	433	2515
147	436	2511
148	439	2509
149	442	2504
150	444	2498
151	446	2493
152	449	2489
153	452	2486
154	455	2482
155	457	2476
156	460	2470
157	462	2465
158	465	2459
159	467	2455
160	470	2452
161	473	2447
162	475	2442
163	478	2437
164	480	2431
165	483	2426
166	486	2424
167	488	2420
168	492	2421
169	495	2417
170	497	2414
171	500	2411
172	503	2407
173	506	2405
174	509	2400
175	512	2399
176	515	2395
177	518	2393
178	521	2389
179	523	2384
180	525	2380
